Airline,Post ID,Date,Text (first 100 chars),Views,Outlier Score,Duration,Engagement Rate,Content Theme,Repeatability,Flair Relevance,Flair Takeaway,Video URL
flyadeal,7391903032302177542,2024-07-15,"بتتحيّر وأنت في قوارب النيل 🚣‍♀️؛ بين متعة التجديف 🤩، ومنظر الغروب 🌇، وجوّ الأكل على النهر 😋
طابع #ا",41800000,3.3x,18,0.05%,promo,repeatable,steal,Value propositions delivered with personality outperform corporate promotional posts,https://www.tiktok.com/@flyadeal/video/7391903032302177542
flyadeal,7413289630167993605,2024-09-11,"مغامراتك في #أبها رهيييبة! 🤩
احجز الآن وسافر بأقل الأسعار مع #طيران_أديل ✈️
Embrace the thrill of th",37500000,3.0x,18,0.08%,promo,repeatable,steal,Value propositions delivered with personality outperform corporate promotional posts,https://www.tiktok.com/@flyadeal/video/7413289630167993605
flyadeal,7504277688681631031,2025-05-14,"#الصيف_يناديك لاكتشاف وجهاتنا 😍
كل وجهة تجارب جديدة ولحظات رهيبة.
من وجهة لوجهة، والضحكة ما تفارقك، ",36800000,2.9x,44,0.05%,promo,repeatable,steal,Value propositions delivered with personality outperform corporate promotional posts,https://www.tiktok.com/@flyadeal/video/7504277688681631031
Cathay Pacific,7472670745756224790,2025-02-18,Reminder: you can breathe ☁️,158700000,11.7x,9,0.49%,behind-the-scenes,repeatable,steal,New aircraft or fleet content generates excitement even for budget carriers,https://www.tiktok.com/@cathaypacific/video/7472670745756224790
Cathay Pacific,7438554374894325024,2024-11-18,Turbines = Our kind of dopamine. #engine #aviation,63700000,4.7x,13,0.83%,behind-the-scenes,repeatable,steal,New aircraft or fleet content generates excitement even for budget carriers,https://www.tiktok.com/@cathaypacific/video/7438554374894325024
Cathay Pacific,7433776245852163361,2024-11-05,What is your favorite part about pre-takeoff?,52800000,3.9x,9,0.23%,behind-the-scenes,repeatable,steal,Short-form BTS of operations humanizes the brand and feeds aviation enthusiasm,https://www.tiktok.com/@cathaypacific/video/7433776245852163361
Cathay Pacific,7417036373405732128,2024-09-21,"Chasing views from 35,000 feet. ",30700000,2.3x,10,1.71%,behind-the-scenes,repeatable,steal,Short-form BTS of operations humanizes the brand and feeds aviation enthusiasm,https://www.tiktok.com/@cathaypacific/video/7417036373405732128
Cathay Pacific,7429344363618012449,2024-10-24,Tag that bestie who chooses passport stamps over candles 🎂,26600000,2.0x,7,1.54%,promo,repeatable,adapt,Promotional content needs TikTok-native execution — Flair deals with personality would perform,https://www.tiktok.com/@cathaypacific/video/7429344363618012449
Fly AirAsia,7401077880010165522,2024-08-09,"Don't be like this brother here... 🫣

Make sure your cabin baggage are within the allowed dimensions",9800000,56.5x,15,1.54%,destination,repeatable,adapt,Route announcement content performs well — adapt the format to Flair's network expansion,https://www.tiktok.com/@flyairasia/video/7401077880010165522
Fly AirAsia,7338259381420674306,2024-02-22,"They see us rollin’ 👀 
#FlyAirAsia with FREE SEATS* to all your favourite destinations when you book",7800000,45.0x,24,0.41%,promo,repeatable,adapt,"Product announcements succeed when they feel like content, not ads",https://www.tiktok.com/@flyairasia/video/7338259381420674306
Fly AirAsia,7484231343489027333,2025-03-21,"TICK-TOCK (say it) - Véra
MUSIC VIDEO OUT NOW!

#Vera #TickTock #FlyAirAsia",5500000,31.7x,30,0.82%,destination,repeatable,adapt,Cinematic destination content can be adapted to Flair's Canadian and warm-weather routes,https://www.tiktok.com/@flyairasia/video/7484231343489027333
Fly AirAsia,7580303742596041991,2025-12-05,You heard it right! The hijab will soon be an official part of our crew uniform 😉✨,3200000,18.4x,14,6.88%,brand-culture,moment-dependent,adapt,Policy and values announcements delivered through people (not graphics) generate outsized engagement,https://www.tiktok.com/@flyairasia/video/7580303742596041991
Fly AirAsia,7486844728038804741,2025-03-28,AirAsia is in #serumpun mode with queen @MimiFly #dundundancechallenge ✨,3200000,18.4x,23,3.67%,creator-collab,repeatable,adapt,Creator collabs amplify reach but need to feel organic — Canadian creators in Flair's demo would work,https://www.tiktok.com/@flyairasia/video/7486844728038804741
Scoot,7350493400547822866,2024-03-26,"Ladies and gentlemen, introducing Riz, THE Singapore Superfan. He proved his 

superfandom by shavin",34600000,76.3x,58,0.15%,milestone,repeatable,steal,This milestone content pattern is directly replicable for Flair,https://www.tiktok.com/@flyscoot/video/7350493400547822866
Scoot,7340848206013566226,2024-02-29,Don't miss your chance to join #SingaporeSuperfans !  Tell us why you are OBSESSED with Singapore by,31500000,69.5x,32,0.10%,creator-collab,repeatable,steal,This creator collab content pattern is directly replicable for Flair,https://www.tiktok.com/@flyscoot/video/7340848206013566226
Scoot,7342832613087825160,2024-03-05,"Here's to more moments like these in 2024 🙌 Find out more about our new planes, link in bio ✈ #FlySc",13600000,30.0x,0,0.13%,behind-the-scenes,repeatable,steal,Short-form BTS of operations humanizes the brand and feeds aviation enthusiasm,https://www.tiktok.com/@flyscoot/video/7342832613087825160
Scoot,7339013520266251528,2024-02-24,"Is Singapore top of your bucket list? Join #SingaporeSuperfans and have your Merlion moment.

T&Cs a",6000000,13.2x,44,0.24%,destination,repeatable,steal,Destination showcase content with route-specific hooks drives saves and shares,https://www.tiktok.com/@flyscoot/video/7339013520266251528
Scoot,7339400127972379911,2024-02-25,"We’re searching for the superest #SingaporeSuperfans . Do you make the cut? 

T&Cs apply. Find out m",6000000,13.2x,47,0.19%,creator-collab,repeatable,steal,This creator collab content pattern is directly replicable for Flair,https://www.tiktok.com/@flyscoot/video/7339400127972379911
Singapore Airlines,7481570187787947271,2025-03-14,"Now that we’ve said hello, can we get a follow? 👀 ​
#FlySQ #SingaporeAirlines",48000000,4.4x,12,0.49%,destination,repeatable,adapt,Cinematic destination content can be adapted to Flair's Canadian and warm-weather routes,https://www.tiktok.com/@singaporeair/video/7481570187787947271
Singapore Airlines,7291492084085689601,2023-10-19,Our experiences make us who we are. #WelcometoWorldClass #SingaporeAirlines #FlySQ ,39000000,3.5x,15,0.21%,destination,repeatable,adapt,Destination content works but Flair should focus on Canadian domestic and sun destinations,https://www.tiktok.com/@singaporeair/video/7291492084085689601
Singapore Airlines,7392882456329735442,2024-07-18,It’s about finding joy in every moment. What ✨core memories✨ did you collect from your first trip? #,38700000,3.5x,18,0.90%,milestone,moment-dependent,adapt,New route announcements are content gold — plan capture strategy for every inaugural,https://www.tiktok.com/@singaporeair/video/7392882456329735442
Singapore Airlines,7578796173536890130,2025-12-01,Join our fan club and hit the follow button! ❤️ #SingaporeAirlines #FlySQ ,32800000,3.0x,13,0.68%,destination,repeatable,adapt,Route announcement content performs well — adapt the format to Flair's network expansion,https://www.tiktok.com/@singaporeair/video/7578796173536890130
Singapore Airlines,7249281700671327506,2023-06-27,We are honoured to be named the World's Best Airline at the 2023 Skytrax World Airline Awards! We we,26500000,2.4x,12,0.38%,passenger-story,brand-specific,ignore,"Premium/brand-specific content not transferable to Flair's budget positioning — observe the format, not the execution",https://www.tiktok.com/@singaporeair/video/7249281700671327506
LATAM Airlines,7284292321703775494,2023-09-29,"Llevamos los sueños de los atletas a lo más alto, en estos Juegos todos podemos volar 🛩️.",114900000,10.4x,17,0.13%,behind-the-scenes,repeatable,steal,Behind-the-scenes operations content satisfies curiosity and builds trust,https://www.tiktok.com/@latamairlines/video/7284292321703775494
LATAM Airlines,7516190997265648952,2025-06-15,¿Quién mejor que papá para darnos seguridad con sus abrazos y motivarnos con sus palabras? 💙 Volamos,59600000,5.4x,78,0.16%,behind-the-scenes,repeatable,steal,Short-form BTS of operations humanizes the brand and feeds aviation enthusiasm,https://www.tiktok.com/@latamairlines/video/7516190997265648952
LATAM Airlines,7397824209423994117,2024-07-31,#SúbeteALaSostenibilidadConLATAM y vuela con la aerolínea más sostenible de Latinoamérica ✈️ Según S,51800000,4.7x,31,0.13%,behind-the-scenes,repeatable,steal,New aircraft or fleet content generates excitement even for budget carriers,https://www.tiktok.com/@latamairlines/video/7397824209423994117
LATAM Airlines,7301704541978840326,2023-11-15,"Si no pudiste encontrarlo…👀
Es porque con LATAM es mucho más fácil apoyar a la conservación de su há",51100000,4.6x,26,0.20%,behind-the-scenes,repeatable,steal,Short-form BTS of operations humanizes the brand and feeds aviation enthusiasm,https://www.tiktok.com/@latamairlines/video/7301704541978840326
LATAM Airlines,7503187633179217207,2025-05-11,¿Cuál flor elegirías para mamá y por qué? 💐 ¡Es que una flor puede representar tanto! Por eso este a,48500000,4.4x,62,0.16%,behind-the-scenes,repeatable,steal,Behind-the-scenes operations content satisfies curiosity and builds trust,https://www.tiktok.com/@latamairlines/video/7503187633179217207
SKY Airline,7545129269437992248,2025-09-01,"😮‍💨🟠 ¿Por qué está tan bueno SKY Plus?
 
Porque disfrutas de todos los
🔸BENEFICIOS | 🔸EXPERIENCIAS |",74500000,10.3x,29,0.07%,behind-the-scenes,repeatable,steal,Short-form BTS of operations humanizes the brand and feeds aviation enthusiasm,https://www.tiktok.com/@skyairline/video/7545129269437992248
SKY Airline,7156950473130511622,2022-10-21,"Agarra vuelo tú también y haz ese viaje que llevas esperando 😎
La flota más nueva de América te espe",35200000,4.9x,9,0.09%,behind-the-scenes,repeatable,steal,Aviation geek content has a massive built-in audience — aircraft and operations content performs reliably,https://www.tiktok.com/@skyairline/video/7156950473130511622
SKY Airline,7358851210712993030,2024-04-17,"💜🧡¿Ya eres parte de SKY P!us? ✈️

Regístrate en nuestro nuevo programa de fidelización SKY y conoce ",28600000,3.9x,21,0.05%,behind-the-scenes,repeatable,steal,New aircraft or fleet content generates excitement even for budget carriers,https://www.tiktok.com/@skyairline/video/7358851210712993030
SKY Airline,7065694478740262150,2022-02-17,Prepara tu maleta 🎒 y súbete a un viaje inolvidable ✈️💜  #SKYairline #SKY #Chile #airplane #viaje #T,23200000,3.2x,16,0.18%,behind-the-scenes,repeatable,steal,Short-form BTS of operations humanizes the brand and feeds aviation enthusiasm,https://www.tiktok.com/@skyairline/video/7065694478740262150
SKY Airline,7106919788806540549,2022-06-08,"¡MIAMI! Llegamos, gente! ✈️😎🏖 #skyairline #miami #destino #viaje #travel #vacaciones #vuelo #aviones",23000000,3.2x,16,0.43%,behind-the-scenes,repeatable,steal,Short-form BTS of operations humanizes the brand and feeds aviation enthusiasm,https://www.tiktok.com/@skyairline/video/7106919788806540549
